TaxonName,Author,accepted_bin
Fagaropsis hildebrandtii,(Engl.) Milne-Redh.,Fagaropsis hildebrandtii
Fagraea annulata,Hiern,Fagraea annulata
Fagraea auriculata,Jack,Fagraea auriculata
Fagraea belukar,K.M.Wong & Sugau,Fagraea belukar
Fagraea berteroana,A.Gray ex Benth.,Fagraea berteroana
Fagraea blumei,G.Don,Fagraea blumei
Fagraea bodenii,Wernham,Fagraea bodenii
Fagraea borneensis,Scheff.,Fagraea borneensis
Fagraea carstensensis,Wernham,Fagraea carstensensis
Fagraea caudata,Ridl.,Fagraea caudata
Fagraea ceilanica,Thunb.,Fagraea ceilanica
Fagraea collina,K.M.Wong & Sugau,Fagraea collina
Fagraea curtisii,King & Gamble,Fagraea curtisii
Fagraea cuspidata,Blume,Fagraea cuspidata
Fagraea dulitensis,K.M.Wong & Sugau,Fagraea dulitensis
Fagraea euneura,Scheff.,Fagraea euneura
Fagraea floribunda,K.M.Wong & Sugau,Fagraea floribunda
Fagraea gitingensis,Elmer,Fagraea gitingensis
Fagraea gracilipes,A.Gray,Fagraea gracilipes
Fagraea havilandii,K.M.Wong & Sugau,Fagraea havilandii
Fagraea involucrata,Merr.,Fagraea involucrata
Fagraea kalimantanensis,(Leenh.) K.M.Wong & Sugau,Fagraea kalimantanensis
Fagraea kinabaluensis,K.M.Wong & Sugau,Fagraea kinabaluensis
Fagraea kuminii,K.M.Wong & Sugau,Fagraea kuminii
Fagraea litoralis,Blume,Fagraea litoralis
Fagraea longipetiolata,K.M.Wong & Sugau,Fagraea longipetiolata
Fagraea macroscypha,Baker,Fagraea macroscypha
Fagraea maingayi,C.B.Clarke,Fagraea maingayi
Fagraea megalantha,K.M.Wong & Sugau,Fagraea megalantha
Fagraea montana,K.M.Wong & Sugau,Fagraea montana
Fagraea oblonga,King & Gamble,Fagraea oblonga
Fagraea oreophila,K.M.Wong & Sugau,Fagraea oreophila
Fagraea peninsularis,K.M.Wong & Sugau,Fagraea peninsularis
Fagraea philippinensis,K.M.Wong & Sugau,Fagraea philippinensis
Fagraea plumeriiflora,DC.,Fagraea plumeriiflora
Fagraea resinosa,Leenh.,Fagraea resinosa
Fagraea rugulosa,K.M.Wong & Sugau,Fagraea rugulosa
Fagraea salticola,Leenh.,Fagraea salticola
Fagraea spicata,Baker,Fagraea spicata
Fagraea stenophylla,Becc. ex Merr.,Fagraea stenophylla
Fagraea tacapala,Leenh.,Fagraea tacapala
Fagraea umbelliflora,Gilg & Gilg-Ben.,Fagraea umbelliflora
Fagraea volubilis,Wall.,Fagraea volubilis
Fagraea woodiana,F.Muell.,Fagraea woodiana
Faguetia falcata,Marchand,Faguetia falcata
Fagus chienii,W.C.Cheng,Fagus chienii
Fagus crenata,Blume,Fagus crenata
Fagus engleriana,Seem. ex Diels,Fagus engleriana
Fagus grandifolia,Ehrh.,Fagus grandifolia
Fagus hayatae,Palib. ex Hayata,Fagus hayatae
Fagus japonica,Maxim.,Fagus japonica
Fagus longipetiolata,Seemen,Fagus longipetiolata
Fagus lucida,Rehder & E.H.Wilson,Fagus lucida
Fagus multinervis,Nakai,Fagus japonica
Fagus orientalis,Lipsky,Fagus orientalis
Fagus sinensis,Oliv.,Fagus longipetiolata
Fagus sylvatica,L.,Fagus sylvatica
Faidherbia albida,(Delile) A.Chev.,Faidherbia albida
Falcataria falcata,(L.) Greuter & R.Rankin,Falcataria falcata
Falcataria pullenii,"(Verdc.) Gill.K.Br., D.J.Murphy & Ladiges",Falcataria pullenii
Falcataria toona,"(F.M.Bailey) Gill.K.Br., D.J.Murphy & Ladiges",Falcataria toona
Falcatifolium angustum,de Laub.,Falcatifolium angustum
Falcatifolium falciforme,(Parl.) de Laub.,Falcatifolium falciforme
Falcatifolium gruezoi,de Laub.,Falcatifolium gruezoi
Falcatifolium papuanum,de Laub.,Falcatifolium papuanum
Falcatifolium taxoides,(Brongn. & Gris) de Laub.,Falcatifolium taxoides
Falconeria insignis,Royle,Falconeria insignis
Faradaya lehuntei,(Horne ex Baker) A.C.Sm.,Faradaya lehuntei
Faramea accumulans,C.M.Taylor,Faramea accumulans
Faramea acuminatissima,Müll.Arg.,Faramea acuminatissima
Faramea affinis,Müll.Arg.,Faramea affinis
Faramea altipetens,Dwyer,Faramea altipetens
Faramea ampla,C.M.Taylor,Faramea ampla
Faramea amplifolia,Standl.,Faramea amplifolia
Faramea angusta,C.M.Taylor,Faramea angusta
Faramea anisocalyx,Poepp.,Faramea anisocalyx
Faramea anisodonta,Müll.Arg.,Faramea anisodonta
Faramea areolata,C.M.Taylor,Faramea areolata
Faramea aristata,Müll.Arg.,Faramea aristata
Faramea atlantica,J.G.Jardim & Zappi,Faramea atlantica
Faramea australis,(Vell.) Müll.Arg.,Faramea australis
Faramea axillaris,Standl.,Faramea axillaris
Faramea bahiensis,Müll.Arg.,Faramea bahiensis
Faramea bangii,Rusby,Faramea bangii
Faramea belizensis,Standl.,Faramea occidentalis
Faramea berryi,Steyerm.,Faramea berryi
Faramea bicolor,J.G.Jardim & Zappi,Faramea bicolor
Faramea biflora,J.G.Jardim & Zappi,Faramea biflora
Faramea boomii,Steyerm.,Faramea boomii
Faramea brachyloba,Müll.Arg.,Faramea brachyloba
Faramea brachysiphon,Standl.,Faramea brachysiphon
Faramea bracteata,Benth.,Faramea bracteata
Faramea brevipes,Steyerm.,Faramea brevipes
Faramea calimana,C.M.Taylor,Faramea calimana
Faramea calophylla,Standl.,Faramea calophylla
Faramea calyptrata,C.M.Taylor,Faramea calyptrata
Faramea campanella,Müll.Arg.,Faramea campanella
Faramea campanularis,Müll.Arg.,Faramea campanularis
Faramea candelabrum,Standl.,Faramea candelabrum
Faramea capillipes,Müll.Arg.,Faramea capillipes
Faramea capulifolia,Dwyer,Faramea capulifolia
Faramea cardiophylla,Standl.,Faramea cardiophylla
Faramea cardonae,Standl. & Steyerm.,Faramea cardonae
Faramea cestroides,Standl.,Faramea cestroides
Faramea cobana,Donn.Sm.,Faramea cobana
Faramea coerulea,(Nees & Mart.) DC.,Faramea coerulea
Faramea coerulescens,K.Schum. & K.Krause,Faramea coerulescens
Faramea coffeoides,C.M.Taylor,Faramea coffeoides
Faramea congesta,Huber,Faramea congesta
Faramea cordifolia,Glaz.,Faramea cordifolia
Faramea correae,C.M.Taylor,Faramea correae
Faramea corymbosa,Aubl.,Faramea corymbosa
Faramea crassifolia,Benth.,Faramea crassifolia
Faramea cuatrecasasii,Standl. ex Steyerm.,Faramea cuatrecasasii
Faramea cuspidata,Benth.,Faramea cuspidata
Faramea cyathocalyx,Standl.,Faramea cyathocalyx
Faramea dichotoma,K.Schum. ex Glaziou,Faramea dichotoma
Faramea diversifolia,Müll.Arg.,Faramea diversifolia
Faramea egregia,Sandwith,Faramea egregia
Faramea elegans,Standl. ex Steyerm.,Faramea elegans
Faramea erythropoda,Miq.,Faramea erythropoda
Faramea eurycarpa,Donn.Sm.,Faramea eurycarpa
Faramea exemplaris,Standl.,Faramea exemplaris
Faramea fallax,Müll.Arg.,Faramea fallax
Faramea fanshawei,Steyerm.,Faramea fanshawei
Faramea filamentosa,Müll.Arg.,Faramea filamentosa
Faramea fragrans,Standl.,Faramea fragrans
Faramea frondosa,C.M.Taylor,Faramea frondosa
Faramea gagnepainiana,Glaz.,Faramea gagnepainiana
Faramea garciae,Steyerm.,Faramea garciae
Faramea glandulosa,Poepp.,Faramea glandulosa
Faramea grandifolia,Standl.,Faramea grandifolia
Faramea guayaquilensis,DC.,Faramea guayaquilensis
Faramea guianensis,(Aubl.) Bremek.,Faramea guianensis
Faramea herbacea,A.Rich.,Faramea herbacea
Faramea heterocalyx,Müll.Arg.,Faramea heterocalyx
Faramea heteromera,Müll.Arg.,Faramea heteromera
Faramea heterophylla,Müll.Arg.,Faramea heterophylla
Faramea hyacinthina,Mart.,Faramea hyacinthina
Faramea hymenocalyx,M.Gomes,Faramea hymenocalyx
Faramea includens,Müll.Arg.,Faramea includens
Faramea insignis,Standl.,Faramea insignis
Faramea intercedens,Müll.Arg.,Faramea intercedens
Faramea irwinii,Steyerm.,Faramea irwinii
Faramea jasminoides,(Kunth) DC.,Faramea jasminoides
Faramea juruana,K.Krause,Faramea juruana
Faramea langlassei,Standl.,Faramea langlassei
Faramea larensis,Steyerm.,Faramea larensis
Faramea latifolia,(Cham. & Schltdl.) DC.,Faramea latifolia
Faramea lehmannii,Standl.,Faramea torquata
Faramea leucocalyx,Müll.Arg.,Faramea leucocalyx
Faramea liebmannii,Standl.,Faramea liebmannii
Faramea liesneri,Dwyer,Faramea liesneri
Faramea longistipula,C.M.Taylor,Faramea longistipula
Faramea lourteigiana,Steyerm.,Faramea lourteigiana
Faramea luteovirens,Standl.,Faramea luteovirens
Faramea lutescens,Standl.,Faramea lutescens
Faramea lutzeana,Glaz.,Faramea lutzeana
Faramea macra,Müll.Arg.,Faramea macra
Faramea macrura,Standl.,Faramea macrura
Faramea maguirei,Steyerm.,Faramea maguirei
Faramea malmei,Standl.,Faramea malmei
Faramea martiana,Müll.Arg.,Faramea martiana
Faramea mattogrossensis,Standl.,Faramea mattogrossensis
Faramea megalophylla,Müll.Arg.,Faramea megalophylla
Faramea miconioides,Standl.,Faramea miconioides
Faramea micrantha,Müll.Arg.,Faramea micrantha
Faramea monsalveae,C.M.Taylor,Faramea monsalveae
Faramea montevidensis,(Cham. & Schltdl.) DC.,Faramea montevidensis
Faramea multiflora,A.Rich.,Faramea multiflora
Faramea neblinae,Steyerm.,Faramea neblinae
Faramea nigrescens,Mart.,Faramea nigrescens
Faramea nocturna,J.G.Jardim & Zappi,Faramea nocturna
Faramea oaxacensis,Borhidi,Faramea oaxacensis
Faramea oblongifolia,Standl.,Faramea oblongifolia
Faramea obtusifolia,Müll.Arg.,Faramea obtusifolia
Faramea occidentalis,(L.) A.Rich.,Faramea occidentalis
Faramea oligantha,Müll.Arg.,Faramea oligantha
Faramea oraria,Standl. ex Steyerm.,Faramea oraria
Faramea orinocencis,Standl.,Faramea orinocencis
Faramea ovalis,Standl.,Faramea ovalis
Faramea pachyantha,Müll.Arg.,Faramea pachyantha
Faramea paniculata,(Aubl.) Benth.,Faramea paniculata
Faramea panurensis,Müll.Arg.,Faramea panurensis
Faramea papillata,Dwyer & M.V.Hayden,Faramea papillata
Faramea papirifolia,(Standl. ex Steyerm.) C.M.Taylor,Faramea papirifolia
Faramea paratiensis,M.Gomes,Faramea paratiensis
Faramea parvibractea,Steyerm.,Faramea parvibractea
Faramea parvula,Standl.,Faramea parvula
Faramea paupera,Standl.,Faramea paupera
Faramea pedunculata,(Bremek.) Delprete,Faramea pedunculata
Faramea permagnifolia,Dwyer ex C.M.Taylor,Faramea permagnifolia
Faramea persistisepta,Dwyer & M.V.Hayden,Faramea persistisepta
Faramea phaneroneura,Standl.,Faramea phaneroneura
Faramea picinguabae,M.Gomes,Faramea picinguabae
Faramea platyclada,Müll.Arg.,Faramea platyclada
Faramea platyneura,Müll.Arg.,Faramea platyneura
Faramea platypoda,Müll.Arg.,Faramea platypoda
Faramea pohliana,Müll.Arg.,Faramea pohliana
Faramea polytriadophora,Bremek.,Faramea polytriadophora
Faramea porophylla,(Vell.) Müll.Arg.,Faramea porophylla
Faramea pseudospathacea,Steyerm.,Faramea pseudospathacea
Faramea purdieana,Benth.,Faramea purdieana
Faramea quadricostata,Bremek.,Faramea quadricostata
Faramea quinqueflora,Poepp.,Faramea quinqueflora
Faramea saldanhaei,Glaz.,Faramea saldanhaei
Faramea scalaris,Standl.,Faramea scalaris
Faramea schultesii,Standl.,Faramea schultesii
Faramea sellowiana,Benth.,Faramea sellowiana
Faramea sertulifera,DC.,Faramea sertulifera
Faramea sessiliflora,Aubl.,Faramea sessiliflora
Faramea sessilifolia,(Kunth) DC.,Faramea sessilifolia
Faramea singularis,Standl.,Faramea singularis
Faramea spathacea,Müll.Arg. ex Standl.,Faramea spathacea
Faramea standleyana,L.O.Williams,Faramea occidentalis
Faramea stenantha,Müll.Arg.,Faramea stenantha
Faramea stenomeris,Standl.,Faramea stenomeris
Faramea stenopetala,Mart.,Faramea stenopetala
Faramea stipulacea,(Cham. & Schltdl.) DC.,Faramea stipulacea
Faramea suaveolens,Duchass. ex Griseb.,Faramea suaveolens
Faramea subbasilaris,Müll.Arg.,Faramea subbasilaris
Faramea subsessilis,(Ruiz & Pav.) Standl.,Faramea subsessilis
Faramea suerrensis,(Donn.Sm.) Donn.Sm.,Faramea suerrensis
Faramea tamberlikiana,Müll.Arg.,Faramea tamberlikiana
Faramea tenuiflora,Müll.Arg.,Faramea tenuiflora
Faramea tenuifolia,Rusby,Faramea tenuifolia
Faramea tetragona,Müll.Arg.,Faramea tetragona
Faramea tinguana,Müll.Arg.,Faramea tinguana
Faramea torquata,Müll.Arg.,Faramea torquata
Faramea trinervia,K.Schum. & Donn.Sm.,Faramea trinervia
Faramea truncata,(Vell.) Müll.Arg.,Faramea corymbosa
Faramea umbellifera,(C.Presl) Müll.Arg.,Faramea umbellifera
Faramea uniflora,Dwyer & M.V.Hayden,Faramea uniflora
Faramea urophylla,Müll.Arg.,Faramea urophylla
Faramea vaginata,Griseb.,Faramea vaginata
Faramea vasquezii,C.M.Taylor,Faramea vasquezii
Faramea verticillata,C.M.Taylor,Faramea verticillata
Faramea vidensis,Müll.Arg.,Faramea vidensis
Faramea weddellii,Standl.,Faramea weddellii
Faramea yavitensis,Steyerm.,Faramea yavitensis
Farsetia somalensis,(Pax) Engl. ex Gilg & Benedict,Farsetia somalensis
Fatsia oligocarpella,Koidz.,Fatsia oligocarpella
Fatsia polycarpa,Hayata,Fatsia polycarpa
Faucherea ambrensis,Aubrév.,Faucherea ambrensis
Faucherea glutinosa,Aubrév.,Faucherea glutinosa
Faucherea hexandra,(Lecomte) Lecomte,Faucherea hexandra
Faucherea laciniata,Lecomte,Faucherea laciniata
Faucherea longepedicellata,Aubrév.,Faucherea longipedicellata
Faucherea manongarivensis,Aubrév.,Faucherea manongarivensis
Faucherea parvifolia,Lecomte,Faucherea parvifolia
Faucherea sambiranensis,Aubrév.,Faucherea sambiranensis
Faucherea tampoloensis,Aubrév.,Faucherea tampoloensis
Faucherea thouvenotii,Lecomte,Faucherea thouvenotii
Faucherea urschii,Aubrév.,Faucherea urschii
Faurea arborea,Engl.,Faurea arborea
Faurea coriacea,Marner,Faurea coriacea
Faurea delevoyi,De Wild.,Faurea delevoyi
Faurea discolor,Welw.,Faurea discolor
Faurea forficuliflora,Baker,Faurea forficuliflora
Faurea galpinii,E.Phillips,Faurea galpinii
Faurea intermedia,Engl. & Gilg,Faurea intermedia
Faurea lucida,De Wild.,Faurea lucida
Faurea macnaughtonii,E.Phillips,Faurea macnaughtonii
Faurea racemosa,Farmar,Faurea racemosa
Faurea rochetiana,(A.Rich.) Chiov. ex Pic.Serm.,Faurea rochetiana
Faurea rubriflora,Marner,Faurea rubriflora
Faurea saligna,Harv.,Faurea saligna
Faurea wentzeliana,Engl.,Faurea wentzeliana
Fedorovia laxa,(Prain) Yakovlev,Fedorovia laxa
Fegimanra acuminatissima,Keay,Fegimanra acuminatissima
Fegimanra africana,(Oliv.) Pierre,Fegimanra africana
Fegimanra afzelii,Engl.,Fegimanra afzelii
Fenerivia angustielliptica,(G.E. Schatz & Le Thomas) R.M.K. Saunders,Fenerivia angustielliptica
Fenerivia capuronii,(Cavaco & Keraudren) R.M.K. Saunders,Fenerivia capuronii
Fenerivia chapelieri,(Baill.) R.M.K. Saunders,Fenerivia chapelieri
Fenerivia ghesquiereana,(Cavaco & Keraudren) R.M.K. Saunders,Fenerivia ghesquiereana
Fenerivia heteropetala,Diels,Fenerivia heteropetala
Fenerivia humbertii,(Cavaco & Keraudren) R.M.K. Saunders,Fenerivia humbertii
Fenerivia madagascariensis,(Cavaco & Keraudren) R.M.K. Saunders,Fenerivia madagascariensis
Fenerivia richardiana,(Baill.) R.M.K. Saunders,Fenerivia richardiana
Ferdinandusa boomii,Steyerm.,Ferdinandusa boomii
Ferdinandusa chlorantha,(Wedd.) Standl.,Ferdinandusa chlorantha
Ferdinandusa cordata,Ducke,Ferdinandusa cordata
Ferdinandusa dissimiliflora,(Mutis ex Humb.) Standl.,Ferdinandusa dissimiliflora
Ferdinandusa edmundoi,Sucre,Ferdinandusa edmundoi
Ferdinandusa elliptica,(Pohl) Pohl,Ferdinandusa elliptica
Ferdinandusa goudotiana,K.Schum.,Ferdinandusa goudotiana
Ferdinandusa guainiae,Spruce ex K.Schum.,Ferdinandusa guainiae
Ferdinandusa hirsuta,Standl.,Ferdinandusa hirsuta
Ferdinandusa leucantha,Standl.,Ferdinandusa leucantha
Ferdinandusa loretensis,Standl.,Ferdinandusa loretensis
Ferdinandusa neblinensis,Steyerm.,Ferdinandusa neblinensis
Ferdinandusa nitida,Ducke,Ferdinandusa nitida
Ferdinandusa panamensis,Standl. & L.O.Williams,Ferdinandusa panamensis
Ferdinandusa paporiensis,Suess.,Ferdinandusa paporiensis
Ferdinandusa paraensis,Ducke,Ferdinandusa paraensis
Ferdinandusa rudgeoides,(Benth.) Wedd.,Ferdinandusa rudgeoides
Ferdinandusa speciosa,(Pohl) Pohl,Ferdinandusa speciosa
Ferdinandusa sprucei,K.Schum.,Ferdinandusa sprucei
Ferdinandusa uaupensis,Spruce ex K.Schum.,Ferdinandusa uaupensis
Feretia aeruginescens,Stapf,Feretia aeruginescens
Feretia apodanthera,Delile,Feretia apodanthera
Fernandoa abbreviata,Bidgood,Fernandoa abbreviata
Fernandoa adenophylla,(Wall. ex G.Don) Steenis,Fernandoa adenophylla
Fernandoa adolfi-friderici,Gilg & Mildbr.,Fernandoa adolfi-friderici
Fernandoa bracteata,(Dop) Steenis,Fernandoa bracteata
Fernandoa brilletii,(Dop) Steenis,Fernandoa brilletii
Fernandoa coccinea,(Scott Elliot) A.H.Gentry,Fernandoa coccinea
Fernandoa collignonii,(Dop) Steenis,Fernandoa collignonii
Fernandoa ferdinandi,(Welw.) Baill. ex K.Schum.,Fernandoa ferdinandi
Fernandoa guangxiensis,D.D.Tao,Fernandoa guangxiensis
Fernandoa lutea,(Verdc.) Bidgood,Fernandoa lutea
Fernandoa macrantha,(Baker) A.H.Gentry,Fernandoa macrantha
Fernandoa macroloba,(Miq.) Steenis,Fernandoa macroloba
Fernandoa madagascariensis,(Baker) A.H.Gentry,Fernandoa madagascariensis
Fernandoa magnifica,Seem.,Fernandoa magnifica
Fernandoa serrata,(Dop) Steenis,Fernandoa serrata
Fernelia buxifolia,Lam.,Fernelia buxifolia
Fernelia obovata,Lam.,Fernelia obovata
Ferocactus wislizeni,(Engelm.) Britton & Rose,Ferocactus wislizeni
Feuilleea vitiensis,(A.Gray) Kuntze,Feuilleea vitiensis
Ficalhoa laurifolia,Hiern,Ficalhoa laurifolia
Ficus abelii,Miq.,Ficus abelii
Ficus abscondita,C.C.Berg,Ficus abscondita
Ficus abutilifolia,(Miq.) Miq.,Ficus abutilifolia
Ficus acamptophylla,(Miq.) Miq.,Ficus acamptophylla
Ficus acreana,C.C.Berg,Ficus acreana
Ficus aculeata,A.Cunn. ex Miq.,Ficus aculeata
Ficus adelpha,K.Schum. & Lauterb.,Ficus adelpha
Ficus adenosperma,Miq.,Ficus adenosperma
Ficus adhatodifolia,Schott,Ficus adhatodifolia
Ficus adolphi-friderici,Mildbr.,Ficus adolphi-friderici
Ficus albert-smithii,Standl.,Ficus albert-smithii
Ficus albipila,(Miq.) King,Ficus albipila
Ficus alongensis,Gagnep.,Ficus alongensis
Ficus altissima,Blume,Ficus altissima
Ficus amadiensis,De Wild.,Ficus amadiensis
Ficus amazonica,(Miq.) André,Ficus amazonica
Ficus americana,Aubl.,Ficus americana
Ficus ampana,C.C.Berg,Ficus ampana
Ficus ampelas,Burm.f.,Ficus ampelas
Ficus ampelos,Burm.f.,Ficus ampelas
Ficus amplissima,Sm.,Ficus amplissima
Ficus anastomosans,Wall. ex Kurz,Ficus anastomosans
Ficus andamanica,Corner,Ficus andamanica
Ficus androchaete,Corner,Ficus androchaete
Ficus annulata,Blume,Ficus annulata
Ficus anserina,(Corner) C.C.Berg,Ficus anserina
Ficus antandronarum,(H.Perrier) C.C.Berg,Ficus antandronarum
Ficus apiocarpa,(Miq.) Miq.,Ficus apiocarpa
Ficus apollinaris,Dugand,Ficus apollinaris
Ficus arawaensis,Corner,Ficus arawaensis
Ficus archboldiana,Summerh.,Ficus archboldiana
Ficus archeri,Standl.,Ficus archeri
Ficus ardisioides,Warb.,Ficus ardisioides
Ficus arfakensis,King,Ficus arfakensis
Ficus aripuanensis,C.C.Berg & Kooy,Ficus aripuanensis
Ficus armitii,King,Ficus armitii
Ficus arnottiana,(Miq.) Miq.,Ficus arnottiana
Ficus artocarpoides,Warb.,Ficus artocarpoides
Ficus aspera,G.Forst.,Ficus aspera
Ficus asperifolia,Miq.,Ficus asperifolia
Ficus asperula,Bureau,Ficus asperula
Ficus assimilis,Baker,Ficus assimilis
Ficus atricha,D.J.Dixon,Ficus atricha
Ficus aurantiacifolia,Weiblen & Whitfeld,Ficus aurantiacifolia
Ficus aurata,(Miq.) Miq.,Ficus aurata
Ficus aurea,Nutt.,Ficus aurea
Ficus aureobrunnea,Pittier,Ficus aureobrunnea
Ficus auricoma,Corner ex C.C.Berg,Ficus auricoma
Ficus auriculata,Lour.,Ficus auriculata
Ficus auriculigera,Bureau,Ficus auriculigera
Ficus aurita,Blume,Ficus aurita
Ficus austrina,Corner,Ficus austrina
Ficus austrocaledonica,Bureau,Ficus austrocaledonica
Ficus baccaureoides,Corner,Ficus baccaureoides
Ficus badiopurpurea,Diels,Ficus badiopurpurea
Ficus bahiensis,C.C.Berg & Carauta,Ficus bahiensis
Ficus balete,Merr.,Ficus balete
Ficus balica,Miq.,Ficus balica
Ficus bambusifolia,Seem.,Ficus bambusifolia
Ficus banahaensis,Elmer,Ficus banahaensis
Ficus banosensis,C.C.Berg,Ficus banosensis
Ficus barclayana,(Miq.) Miq.,Ficus barclayana
Ficus barraui,Guillaumin,Ficus barraui
Ficus barteri,Sprague,Ficus barteri
Ficus bataanensis,Merr.,Ficus bataanensis
Ficus beccarii,King,Ficus beccarii
Ficus beddomei,King,Ficus beddomei
Ficus beipeiensis,S.S.Chang,Ficus beipeiensis
Ficus benghalensis,L.,Ficus benghalensis
Ficus benguetensis,Merr.,Ficus benguetensis
Ficus benjamina,L.,Ficus benjamina
Ficus bernaysii,King,Ficus bernaysii
Ficus binnendijkii,Miq.,Ficus binnendijkii
Ficus bivalvata,H.Perrier,Ficus bivalvata
Ficus bizanae,Hutch. & Burtt Davy,Ficus bizanae
Ficus blepharophylla,Vázq.Avila,Ficus blepharophylla
Ficus boanensis,C.C.Berg,Ficus boanensis
Ficus bojeri,Baker,Ficus bojeri
Ficus boliviana,C.C.Berg,Ficus boliviana
Ficus bonijesulapensis,R.M.Castro,Ficus bonijesulapensis
Ficus boninsimae,Koidz.,Ficus boninsimae
Ficus borneensis,Kochummen,Ficus borneensis
Ficus botryocarpa,Miq.,Ficus botryocarpa
Ficus botryoides,Baker,Ficus botryoides
Ficus bougainvillei,Rech.,Ficus bougainvillei
Ficus brachyclada,Baker,Ficus brachyclada
Ficus brachypoda,(Miq.) Miq.,Ficus brachypoda
Ficus bracteata,(Miq.) Wall. ex Miq.,Ficus bracteata
Ficus brasiliensis,Link,Ficus brasiliensis
Ficus brenesii,Standl.,Ficus brenesii
Ficus brevibracteata,W.C.Burger,Ficus brevibracteata
Ficus brittonii,Bold.,Ficus brittonii
Ficus broadwayi,Urb.,Ficus broadwayi
Ficus bruneiensis,Corner,Ficus bruneiensis
Ficus brunneoaurata,Corner,Ficus brunneoaurata
Ficus bubu,Warb.,Ficus bubu
Ficus bullenei,I.M.Johnst.,Ficus bullenei
Ficus burretiana,Mildbr. & Hutch.,Ficus burretiana
Ficus burtt-davyi,Hutch.,Ficus burtt-davyi
Ficus bussei,Warb. ex Mildbr. & Burret,Ficus bussei
Ficus caatingae,R.M.Castro,Ficus caatingae
Ficus caballina,Standl.,Ficus caballina
Ficus cahuitensis,C.C.Berg,Ficus cahuitensis
Ficus calcarata,Corner,Ficus calcarata
Ficus calcicola,Corner,Ficus calcicola
Ficus caldasiana,Dugand,Ficus caldasiana
Ficus calimana,Dugand,Ficus calimana
Ficus callophylla,Blume,Ficus callophylla
Ficus callosa,Willd.,Ficus callosa
Ficus caloneura,Kurz,Ficus caloneura
Ficus calopilina,Diels,Ficus calopilina
Ficus calyculata,Mill.,Ficus calyculata
Ficus calyptrata,Vahl,Ficus calyptrata
Ficus calyptroceras,(Miq.) Miq.,Ficus calyptroceras
Ficus capillipes,Gagnep.,Ficus capillipes
Ficus capreifolia,Delile,Ficus capreifolia
Ficus carautana,L.J.Neves & Emygdio,Ficus carautana
Ficus carchiana,C.C.Berg,Ficus carchiana
Ficus carica,L.,Ficus carica
Ficus carinata,C.C.Berg,Ficus carinata
Ficus carpentariensis,D.J.Dixon,Ficus carpentariensis
Ficus carpenteriana,Elmer,Ficus carpenteriana
Ficus cartagenensis,Dugand,Ficus cartagenensis
Ficus casapiensis,(Miq.) Miq.,Ficus casapiensis
Ficus casearioides,King,Ficus casearioides
Ficus cassidyana,Elmer,Ficus cassidyana
Ficus castellviana,Dugand,Ficus castellviana
Ficus catappifolia,Kunth & C.D.Bouché,Ficus catappifolia
Ficus cataractorum,Vieill. ex Bureau,Ficus cataractorum
Ficus caulocarpa,(Miq.) Miq.,Ficus caulocarpa
Ficus cauta,Corner,Ficus cauta
Ficus cavronii,Carrière,Ficus cavronii
Ficus celebensis,Corner,Ficus celebensis
Ficus cerasicarpa,D.J.Dixon,Ficus cerasicarpa
Ficus cereicarpa,Corner,Ficus cereicarpa
Ficus cervantesiana,Standl. & L.O.Williams,Ficus cervantesiana
Ficus cestrifolia,Schott,Ficus cestrifolia
Ficus chaetostyla,Diels,Ficus chaetostyla
Ficus chapaensis,Gagnep.,Ficus chapaensis
Ficus chaparensis,C.C.Berg & Villav.,Ficus chaparensis
Ficus chaponensis,Dugand,Ficus chaponensis
Ficus chartacea,(Wall. ex Kurz) Wall. ex King,Ficus chartacea
Ficus chirindensis,C.C.Berg,Ficus chirindensis
Ficus chlamydocarpa,Mildbr. & Burret,Ficus chlamydocarpa
Ficus chocoensis,Dugand,Ficus chocoensis
Ficus christianii,Carauta,Ficus christianii
Ficus chrysochaete,Corner,Ficus chrysochaete
Ficus chrysolepis,Miq.,Ficus chrysolepis
Ficus citrifolia,Mill.,Ficus citrifolia
Ficus clusiifolia,Schott,Ficus clusiifolia
Ficus coerulescens,(Rusby) Rossberg,Ficus coerulescens
Ficus colubrinae,Standl.,Ficus colubrinae
Ficus comitis,King,Ficus comitis
Ficus complexa,Corner,Ficus complexa
Ficus concinna,(Miq.) Miq.,Ficus concinna
Ficus congesta,Roxb.,Ficus congesta
Ficus conglobata,King,Ficus conglobata
Ficus conocephalifolia,Ridl.,Ficus conocephalifolia
Ficus conraui,Warb.,Ficus conraui
Ficus consociata,Blume,Ficus consociata
Ficus copiosa,Steud.,Ficus copiosa
Ficus cordata,Thunb.,Ficus cordata
Ficus cordatula,Merr.,Ficus cordatula
Ficus corneri,Kochummen,Ficus corneri
Ficus corneriana,C.C.Berg,Ficus corneriana
Ficus coronata,Spin,Ficus coronata
Ficus coronulata,Miq.,Ficus coronulata
Ficus costaricana,(Liebm.) Miq.,Ficus costaricana
Ficus costata,Aiton,Ficus costata
Ficus cotinifolia,Kunth,Ficus cotinifolia
Ficus crassicosta,Warb.,Ficus crassicosta
Ficus crassinervia,Desf. ex Willd.,Ficus crassinervia
Ficus crassipes,F.M.Bailey,Ficus crassipes
Ficus crassiramea,(Miq.) Miq.,Ficus crassiramea
